กอ	k ɔː
ขอ	kʰ ɔː 4
คอ	kʰ ɔː
งอ	ŋ ɔː
คน	kʰ o n
แมว	m ɛː w
ปอน	p ɔː n
งง	ŋ o ŋ
งู	ŋ uː
ตา	t aː
ไท	tʰ a j
ไทย	tʰ a j
กา	k aː
ตาล	t aː n
ดา	d aː
เดิน	d ɤː n
เอา	ʔ a w
รา	r aː
ชา	tɕʰ aː
กาน	k aː n
การ	k aː n
บา	b aː
พา	pʰ aː
นา	n aː
มัน	m a n
นอน	n ɔː n
วา	w aː
แนว	n ɛː w
ตรง	t r o ŋ
ที	tʰ iː
นำ	n a m
หมา	h a m aː
ลุง	l u ŋ
พี	pʰ iː
น้อง	n ɔː ŋ
รถ	r o t
รด	r o t
รส	r o t
ยา	j aː
พระ	pʰ r a ʔ
ปลา	p l aː
พร	pʰ o n
รัก	r a k
ลัก	l a k
ขโมย	kʰ a) 1) ((m oː j
งาน	ŋ aː n
ผู้	pʰ uː 2
ยากันยุง	j aː) 1) ((k a n) 1) ((j u ŋ
กัน	k a n
กงศุล	k o ŋ) 1) ((s u n 4
ไก่	k a j 1
ไกล	k l a j
ใกล้	k l a j 2
คำ	kʰ a m
ดึง	d ɯ ŋ
เลว	l eː w
สามัญ	s aː 4) 1) ((m a n
จน	t͡ɕ o n
รวย	r u a̯ j
โลก	l oː k̚ 2
นาม	n aː m
ดอง	d ɔː ŋ
ผัก	pʰ a k̚ 1
จะ	t͡ɕ a ʔ 1
ขอนแก่น	kʰ ɔː n 4) 1) ((k ɛ n 1
วัน	w a n
ดวง	d u a̯ ŋ
นาม	n aː m
จาน	t͡ɕ aː n
กิน	k i n
ข้าว	kʰ aː w 2
ลา	l aː
การกบฏ	k aː n . k a 1 . b o t̚ 1
กวาง	k w aː ŋ
เนื่อง	n ɯ a̯ ŋ 2
ริม	r i m
พยาน	pʰ a 3 . j aː n
สมหวัง	s o m 4 . w a ŋ 4
น้ำใจนักกีฬา	n a m 3 . t͡ɕ a j . n a k̚ 3 . k iː . l aː
ชาร์จ	t͡ɕʰ aː t̚ 3
เทอร์เบียม	tʰ ɤː . b i a̯ m 2
เหวอะ	w ɤ ʔ 1
นารี	n aː . r iː
ไอติม	ʔ a j . t i m
ธรณีประตู	tʰ ɔː . r a 3 . n iː . p r a 1 . t uː
ข้อเสนอ	kʰ ɔː 2 . s a 1 . n ɤː 4
ภู่	pʰ uː 2
วันทยาวุธ	w a n . tʰ a 3 . j aː . w u t̚ 3
พบ	pʰ o p̚ 3
โดมิโน	d oː . m i 3 . n oː 2
ลาก่อน	l aː . k ɔː n 1
จม	t͡ɕ o m
กาบอง	k aː . b ɔː ŋ
งวง	ŋ u a̯ ŋ
ฮิญาบ	h i 3 . j aː p̚ 2
แหกขี้ตา	h ɛː k̚ 1 . kʰ iː 2 . t aː
เชษฐา	t͡ɕʰ eː t̚ 2 . tʰ aː 4
กิตติคุณ	k i t̚ 1 . t i 1 . kʰ u n
ของขวัญ	kʰ ɔː ŋ 4 . kʰ w a n 4
กระตือรือร้น	k r a 1 . t ɯː . r ɯː . r o n 3
กุดัง	k u 1 . d a ŋ
อัปโหลด	ʔ a p̚ 3 . l oː t̚ 1
ฉะนั้น	t͡ɕʰ a 1 . n a n 3
สึก	s ɯ k̚ 1
นายงาน	n aː j . ŋ aː n
เด็กผู้ชาย	d e k̚ 1 . pʰ uː 2 . t͡ɕʰ aː j
หิด	h i t̚ 1
เต็มใจ	t e m . t͡ɕ a j
ชื่นใจ	t͡ɕʰ ɯː n 2 . t͡ɕ a j
เค้า	kʰ a w 3
ซ่าน	s aː n 2
กุณโฑ	k u n . tʰ oː
ความช่วยเหลือ	kʰ w aː m . t͡ɕʰ u a̯ j 2 . l ɯ a̯ 4
ห่อ	h ɔː 1
ทัณฑฆาต	tʰ a n . tʰ a 3 . kʰ aː t̚ 2
ช่วงชิง	t͡ɕʰ u a̯ ŋ 2 . t͡ɕʰ i ŋ
ตราบาป	t r aː . b aː p̚ 1
ถวายพระพร	tʰ a 1 . w aː j 4 . pʰ r a 3 . pʰ ɔː n
หุ่นกระบอก	h u n 1 . k r a 1 . b ɔː k̚ 1
หมด	m o t̚ 1
เพนซิลเวเนีย	pʰ e n . s i l . w eː . n i a̯
ฝึกซ้อม	f ɯ k̚ 1 . s ɔː m 3
หน่วยดาราศาสตร์	n u a̯ j 1 . d aː . r aː . s aː t̚ 1
ซัลเฟอร์	s a l . f ɤː 2
รันทด	r a n . tʰ o t̚ 3
บุ	b u ʔ 1
ขู่	kʰ uː 1
ไส	s a j 4
ลึกลับ	l ɯ k̚ 3 . l a p̚ 3
สำราญ	s a m 4 . r aː n
ตัวประกัน	t u a̯ . p r a 1 . k a n
ลาออก	l aː . ʔ ɔː k̚ 1
บัลเลต์	b a n . l eː 2
โมเดล	m oː . d e l
สมเพช	s o m 4 . pʰ eː t̚ 2
วิปโยค	w i p̚ 3 . p a 1 . j oː k̚ 2
หีบห่อ	h iː p̚ 1 . h ɔː 1
ดินปืน	d i n . p ɯː n
คริสต์มาส	kʰ r i s 3 . m aː s 2
อาบแดด	ʔ aː p̚ 1 . d ɛː t̚ 1
เพิกถอน	pʰ ɤː k̚ 2 . tʰ ɔː n 4
คลอรีน	kʰ l ɔː . r iː n
ข้างหน้า	kʰ aː ŋ 2 . n aː 2
เท่าไร	tʰ a w 2 . r a j
นก	n o k̚ 3
บุคลิกลักษณะ	b u k̚ 1 . kʰ a 3 . l i k̚ 3 . k a 1 . l a k̚ 3 . s a 1 . n a ʔ 1
อ้วน	ʔ u a̯ n 2
ตายโหง	t aː j . h oː ŋ 4
