(	 
)	 
*	 
/	 
0	s uː n 4
1	n ɯ ŋ 1
10	s i p̚ 1
14	1 4
2	s ɔː ŋ 4
20	j iː 2 . s i p̚ 1
3	s aː m 4
4	s iː 1
5	h aː 2
6	h o k̚ 1
7	t͡ɕ e t̚ 1
8	p ɛː t̚ 1
9	k aː w 2
ก	k ɔː
ก.	k ɔː
ก.ค.	k ɔː . kʰ ɔː
ก.พ.	k ɔː . pʰ ɔː
ก.ย.	k ɔː . j ɔː
กก	k o k̚ 1
กกุธภัณฑ์	k a 1 . k u t̚ 1 . tʰ a 3 . pʰ a n
กข	k ɔː . kʰ ɔː 4
กค	k o k 1
กง	k o ŋ
กงการ	k o ŋ . k aː n
กงล้อ	k o ŋ . l ɔː 3
กงศุล	k o ŋ . s u n 4
กงสี	k o ŋ . s iː 4
กงสุล	k o ŋ . s u n 4
กงเวียน	k o ŋ . w i a̯ n
กฎ	k o t̚ 1
กฎข้อบังคับ	k o t̚ 1 . kʰ ɔː 2 . b a ŋ . kʰ a p̚ 3
กฎจราจร	k o t̚ 1 . t͡ɕ a 1 . r aː . t͡ɕ ɔː n
กฎบัตร	k o t̚ 1 . b a t̚ 1
กฎมนเทียรบาล	k o t̚ 1 . m o n . tʰ i a̯ n . b aː n
กฎระเบียบ	k o t 1 . r a 3 . b iː a p 1
กฎหมาย	k o t̚ 1 . m aː j 4
กฎหมายปกครอง	k o t̚ 1 . m aː j 4 . p o k̚ 1 . kʰ r ɔː ŋ
กฎหมายมหาชน	k o t̚ 1 . m aː j 4 . m a 3 . h aː 4 . t͡ɕʰ o n
กฎหมายระหว่างประเทศ	k o t̚ 1 . m aː j 4 . r a 3 . w aː ŋ 1 . p r a 1 . tʰ eː t̚ 2
กฎหมายรัฐธรรมนูญ	k o t̚ 1 . m aː j 4 . r a t̚ 3 . tʰ a 1 . tʰ a m . m a 3 . n uː n
กฎหมายเหตุ	k o t̚ 1 . m aː j 4 . h eː t̚ 1
กฎหมายเอกชน	k o t̚ 1 . m aː j 4 . ʔ eː k̚ 1 . k a 1 . t͡ɕʰ o n
กฎเกณฑ์	k o t̚ 1 . k eː n
กฏ	k o t̚ 1
กฐิน	k a 1 . tʰ i n 4
กด	k o t̚ 1
กดขี่	k o t̚ 1 . kʰ iː 1
กดดัน	k o t̚ 1 . d a n
กดปุ่ม	k o t 1 . p u m 1
กตัญญู	k a 1 . t a n . j uː
กติกา	k a 1 . t i 1 . k aː
กติกาสัญญา	k a 1 . t i 1 . k aː . s a n 4 . j aː
กตเวที	k a 1 . t a 1 . w eː . tʰ iː
กถา	k a 1 . tʰ aː 4
กทม.	k ɔː . tʰ ɔː . m ɔː
กนก	k a 1 . n o k̚ 1
กบ	k o p̚ 1
กบฏ	k a 1 . b o t̚ 1
กบนา	k o p̚ 1 . n aː
กบเลือกนาย	k o p̚ 1 . l ɯ a̯ k̚ 2 . n aː j
กบเหลาดินสอ	k o p̚ 1 . l a w 4 . d i n . s ɔː 4
กบในกะลาครอบ	k o p̚ 1 . n a j . k a 1 . l aː . kʰ r ɔː p̚ 2
กมล	k a 1 . m o n
กร	k ɔː n
กรกฎ	k ɔː . r a 3 . k o t̚ 1
