1_100_104_1	โครงสร้าง จุล ภาพ พื้นผิว   ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ เติม ไพรี ดีน   แสดง ดัง ไมโคร กราฟ รูป ที่   สิบ
1_100_112_1	ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ ทำการ เติม ไกล ซีน ที่ ความ เข้มข้น ต่าง ต่าง   มี ลักษณะ การ เกาะติด สม่ำเสมอ ทั้งหมด
1_100_129_10	สาร เติม อื่น อื่น   ได้แก่   ไกล ซีน   ไพ ริ ดี   โพ ลี เอ ทธา ลี น ไกล คอ ล   ปรับปรุง คุณภาพ ผิว ให้ มี เกรน เล็ก ลง   และ มี การ เชื่อมต่อ ระหว่าง เกรน
1_100_129_11	ผิว ชุบ เคลือบ ใน ระดับ จุลภาค จึง เรียบ ขึ้น
1_100_129_4	โปตัสเซียม เฟอ โร ไซยาไนด์ เป็น สาร เติม   เพื่อ ปรับปรุง คุณภาพ ผิว
1_100_129_9	ไตร เอ ทธา โน ลา มีน เป็น สาร เติม   เพื่อ เพิ่ม ความเสถียร แก่ โปตัสเซียม เฟอ โร ไซยาไนด์
1_100_130_1	จาก การศึกษา ผล ของ สาร เติม เพื่อ ทำ การพัฒนา สาร ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เพื่อ กระบวน การชุบ แผ่น วงจร พิมพ์ สองหน้า ทรู โฮ ล ระดับ ต้นแบบ อุตสาหกรรม   พบ ว่า สามารถ พัฒนา น้ำยา ชุบ เคลือบ ที่ มี เสถียรภาพ สูง
1_100_133_1	หนึ่ง   พันธุ์ ทิพย์   มัณฑะ จิตร   ชู ชาติ   นิติ ป ปัญญา วงศ์   ช ยันต์   คุ้มภัย   และ นันทน์   ถาวร รัง กู ร
1_100_134_1	สอง   พันธุ์ ทิพย์   มัณฑะ จิตร   และ คณะ   การพัฒนา กระบวน การชุบ ทรู โฮ ล สำหรับ แผ่น วงจร พิมพ์ ระดับ ต้นแบบ อุตสาหกรรม
1_100_15_4	โครงสร้าง จุล ภาพ พื้นผิว ของ ผิว ชุบ เคลือบ เรียบ
1_100_16_1	ดัง จะ เห็น ได้ ว่า   การชุบ เคลือบ แผ่น วงจร พิมพ์ แบบ สองหน้า ทรู โฮ ล   ประกอบด้วย กระบวน การชุบ เคลือบ ที่ สำคัญ คือ   กระบวน การชุบ เคลือบ แบบ ไม่ ใช้ ไฟฟ้า   และ แบบ ไม่ ใช้ ไฟฟ้า
1_100_17_1	การชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   ด้วย สาร ชุบ เคลือบ ที่ พัฒนา ขึ้น ใน ห้องปฏิบัติการ   ผิว ชุบ เคลือบ ทองแดง ที่ ได้ จาก สาร ที่ พัฒนา ขึ้น มี ความ เย็น สม่ำเสมอ
1_100_17_2	และ สาร ที่ พัฒนา ขึ้น มี ความเสถียร ใกล้เคียง กับ สาร ชุบ เคลือบ เชิงพาณิชย์
1_100_21_3	เนื่องจาก เป็น การชุบ เคลือบ โลหะ ทองแดง ลง บน ฉนวน ไฟฟ้า   ผิว ลา มิ เนต ภายใน รู เจาะ
1_100_22_11	ราย งานวิจัย นี้ เป็น การศึกษาต่อเนื่อง จาก   สอง   การพัฒนา เทคโนโลยี การชุบ เคลือบ ทองแดง ไม่ ใช้ ไฟฟ้า   ซึ่ง ใน การชุบ เคลือบ มี หลาย ขั้นตอน
1_100_22_3	รวมถึง สาร สำเร็จรูป ที่ ใช้ ใน การชุบ แบบ ไม่ ใช้ ไฟฟ้า
1_100_24_1	กระบวนการผลิต แผ่น วงจร พิมพ์ แบบ สองหน้า ทรู โฮ ล   ประกอบด้วย ขั้นตอน การชุบ เคลือบ ดัง แผนภาพ   แสดง ภาคตัดขวาง ของ รู เจาะ
1_100_26_1	การชุบ เคลือบ แบบ ไม่ ใช้ ไฟฟ้า มีประโยชน์ ใน การชุบ เคลือบ วัสดุ ที่ เป็น ฉนวน ไฟฟ้า   เช่น   พลาสติก   ผิว ลา มิ เนต ภายใน รู เจาะ ของ แผ่น วงจร พิมพ์ สองหน้า
1_100_30_4	เกิด การชุบ เคลือบ ผิว ตัวเร่ง ปฏิกิริยา บน ชิ้นงาน
1_100_45_1	ทำ การชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า ด้วย สภาวะ การชุบ เคลือบ ต่าง ต่าง   แสดง ดัง ตาราง ที่   สอง
1_100_50_1	ตาราง ที่   หนึ่ง   ขั้นตอน การ เตรียม ผิว ชิ้นงาน ก่อน ทำ การชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า
1_100_64_1	ตาราง ที่   สาม   สาร เติม ที่ เพิ่ม ใน สภาวะ พื้นฐาน การชุบ เคลือบ พร้อมกัน มากกว่า   หนึ่ง   ตัว
1_100_67_1	ชิ้นงาน ที่ ผ่าน ขั้นตอน การ เตรียม ผิว   และ ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   จาก ตาราง ที่   หนึ่ง   และ   สอง
1_100_69_4	จึง ให้ สภาพ การชุบ เคลือบ ของ น้ำยา สูตร ที่   สี่   เป็น สภาวะ พื้นฐาน   เพื่อ ชุบ เคลือบ สม่ำเสมอ ที่สุด
1_100_69_5	จึง ให้ สภาพ การชุบ เคลือบ   และ ความสม่ำเสมอ ใน การชุบ เคลือบ ให้ ดี ยิ่งขึ้น
1_100_90_1	โครงสร้าง จุล ภาพ พื้นผิว   ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ มี การ เติม โปร แตสเซียมเฟอ โร ไชยา ไน ด์   แสดง ดัง ไมโคร กราฟ รูป   หก   เจ็ด   และ   แปด
1_100_95_3	สามารถ เปรียบเทียบ น้ำยา ชุบ เคลือบ สำเร็จรูป เชิงพาณิชย์
1_102_10_1	ต้นปี   สอง พัน ห้า ร้อย สาม สิบสอง   นายแพทย์   ทวี ศักดิ์ ได้ เริ่ม เขียน โปรแกรม
1_102_10_12	เพื่อ นำ ออก แสดง ใน งานฉลอง ครบรอบ   ยี่สิบ   ปี โรงพยาบาล รามาธิบดี   เดือน พฤษภาคม   สอง พัน ห้า ร้อย สาม สิบสอง
1_102_113_1	จะ เห็น ได้ ว่าการ ตรวจ คำ ใน ภาษาไทย   ซึ่ง เขียน ติดกัน เป็นพืด นั้น   มี อยู่ ทางเดียว คือ   จาก จุดเริ่มต้น
1_102_113_9	ดังนั้น ใน ด้าน นี้   ความก้าวหน้า ใน การวิจัย ก็ น่าจะ เป็นไป ใน ทาง ที่ กำหนด จุดเริ่มต้น ใหม่   หรือ จุด สุดท้าย ของ คำ   ว่า ถูกต้อง หรือไม่ ตาม ความหมาย ของ ภาษา
1_102_114_1	การ พัฒนาการ ตรวจ คำ สะกด ใน ประโยค ภาษาไทย   จึง เหลืออยู่ ใน ด้าน ของ การ เก็บ คำ ใน พจนานุกรม เท่านั้น
1_102_114_3	และ การ เก็บ พจนานุกรม ให้ เปลือง เนื้อที่ น้อยที่สุด
1_102_11_1	โปรแกรม นี้ เป็น รูปร่าง   สามารถ ทดสอบ ความเป็นไปได้   ได้ ครั้งแรก เมื่อ เดือน กรกฎาคม   ปี   สอง พัน ห้า ร้อย สาม สิบสอง
1_102_120_1	เนื่องจาก การเขียน ประโยค ภาษาไทย   เรา เขียน คำ ต่าง ต่าง   ติดกัน   โดย ไม่มี การ เว้น ช่องว่าง ระหว่าง
1_102_123_2	สมมติ อี กว่า เรา เก็บ คำ ว่า   ออ   อลวน   อึดอัด   เรา ก็ จะ ทาบ คำ ว่า   ออ   ได้
1_102_124_6	เพราะ แม้แต่ การ อ่าน   เรา ยัง อ่าน ได้ เป็น   หอก   ลอง   หรือ   หอ   กลอง
1_102_126_1	หนึ่ง   คำ ผิด บาง คำ   คอมพิวเตอร์ มอง เป็น คำ ถูก ที่อยู่ เรียง ติดกัน ได้   เช่น   สด วก
1_102_12_6	และ คุณ ดา วุด ก็ได้ ทำสำเร็จ เมื่อ เดือน พฤศจิกายน   สอง พัน ห้า ร้อย สาม สิบสอง
1_102_15_1	เนื่องจาก ภาษาไทย เขียน เรียง ติดกัน ไป หมด
1_102_15_2	ทำให้ เครื่องคอมพิวเตอร์ ไม่ทราบ ว่า   แต่ละ คำ ที่ เรียง กัน อยู่ นั้น มี กี่ ตัวอักษร   หรือ สิ้นสุด คำ ที่ ตรงไหน
1_102_15_3	ใน การ ตรวจ คำ ผิด   เครื่องคอมพิวเตอร์ จึง ไม่ สามารถ ยก แต่ละ คำ   ไป เทียบ กับ คำ ใน พจนานุกรม แบบ ภาษาอังกฤษ ได้
1_102_15_4	ผู้วิจัย ได้ พยายาม สังเกตว่า   เรา คนไทย ใน ขณะ อ่าน ประโยค ภาษาไทย นั้น   เรา สามารถ แบ่ง คำเป็น แต่ละ คำ ได้ อย่างไร
1_102_16_1	จาก การ สังเกต   สรุป ได้ ว่า คำ ใน ภาษาไทย แบ่ง ออก เป็น   สอง   พวก คือ   คำ ที่ ไม่มีปัญหา ใน การ แบ่ง   กับ คำ ที่ มีปัญหา ใน การ แบ่ง
1_102_189_1	จาก ประสบการณ์ ที่ ได้ นำ โปรแกรม นี้ มา ทดลองใช้   ผู้วิจัย พบ ว่าการ เก็บ คำ ที่ มากเกินไป นั้น   จะ ทำให้ เสีย คุณค่า ใน การ ตรวจหา คำ สะกด ที่ ผิด   ยกตัวอย่างเช่น คำ ว่า   ใน   และ คำ ว่า    ไน   ซึ่ง ทั้งสอง คำเป็น คำ ที่ ถูกต้อง   ใน พจนานุกรม ฉบับ ปี   สอง พัน ห้า ร้อย ยี่สิบ หก
1_102_189_17	เพราะ มี คำ ว่า   ชวย   อยู่ ใน พจนานุกรม
1_102_189_7	แต่ คอมพิวเตอร์ ไม่มีทาง ทราบ เลย ว่า ท่าน ต้องการ เช่นนี้
1_102_190_1	คำ ที่จะ ต้อง เอา ออกจาก พจนานุกรม ในอนาคต   ชวย   เท่ากับ   โชย   ติปาถะ   เท่ากับ   จิปาถะ   ผลพลอยได้
1_102_191_2	ซึ่ง เท่าที่ เป็นมา นั้น   บางครั้ง เรา จะ พบ ว่า มี การ ตัด คำ ที่ ไม่ค่อย จะ สมบูรณ์
1_102_191_6	นอกจากนั้น แล้ว   คณะ วิจัย ก็ กำลัง พิจารณา ที่จะ นำ ผลพลอยได้ จากนี้ มา ใช้ ใน อีก โครงการ หนึ่ง   คือ การ   พิจารณา   ภาษาไทย   หรือ   และ อังกฤษ   โดยอัตโนมัติ
1_102_192_1	สิ่ง สุดท้าย ที่ คณะ ผู้วิจัย มี ความเห็น ว่า จะ สามารถ ทำได้   คือ การ แนะ คำ ที่ มี ตัวสะกด ใกล้เคียง   ซึ่ง น่าจะ เรียก เอา ออกมา ได้ อย่างง่ายดาย
1_102_192_8	ถึงแม้ จะ รู้ ความหมาย ของ มัน จาก การ เปิด ดู จาก พจนานุกรม ก็ตาม   เช่น   คำ ที่ ได้ เคย ยกตัวอย่าง มา แล้ว   คือ คำ ว่า   ติปาถะ   และ   ชวย
1_102_22_2	นั้น คือ คำ นี้ มี จุดสิ้นสุด คำ ที่ เริ่ม ด้วย สระ แอ ได้   สาม   จุด คือ   แปลง   หนึ่ง   สอง   สาม
1_102_23_1	จาก การ สังเกต พบ ว่า โอกาส ที่ จุด   หนึ่ง   สอง   สาม   จะ เป็น จุดสิ้นสุด คำ นี้ ไม่ เท่ากัน คือ   โอกาส   สาม   สอง   หนึ่ง
1_102_31_1	ใน การวิจัย ครั้งนี้   ผู้วิจัย พยายาม ให้ คอมพิวเตอร์ คิด แบบ คน ให้ มาก ที่สุด
1_102_37_2	ปรากฏ ว่า มี หลาย ตัว เช่น   รัก   รักเร่   รักแร้   รัง   รัชกาล   เป็นต้น
1_102_42_1	สอง   คำ ที่ มีปัญหา   การวิจัย ครั้งนี้ สามารถ ใช้ คอมพิวเตอร์ ตรวจ คำ ที่ มีปัญหา ได้ บาง ชนิด เท่านั้น คือ
1_102_43_2	แล้ว ตรวจ คำ ที่ ละ ตัวอักษร แบบ เดิม   เช่น   แปล ง่าย
